whisky_name_raw,review_text,score,review_date,source_url,dedupe_hash
"Highland Park 15 yo 'Viking Heart' (44%, OB, 2021) This is the new one that's bottled in some kind of yellow/white ceramic that may let some absent minded enthusiasts believe it is Advocaat. Or Bailey's. Quite. Looks like it is a permanent addition to the range.","Highland Park 15 yo 'Viking Heart' (44%, OB, 2021) This is the new one that's bottled in some kind of yellow/white ceramic that may let some absent minded enthusiasts believe it is Advocaat. Or Bailey's. Quite. Looks like it is a permanent addition to the range. Colour: light gold. Nose: awesomely coastal, rather peatier, with oysters, seawater, grapefruits and lemon zests. Touches of cinchona and a little soot too, I would say it is clearly a modern, smokier Highland Park. We like these. Forgot to mention green oranges or even that eau-de-toilette that Hermès are making of them. I'm fond of this nose. Mouth: indeed, the peat was 'boosted'. This Highland Park has officially become a peaty whisky in my book, with a smokiness that's pretty much of Talisker level, in my opinion. A very good drop despite some seasoned sherry that's a little leafy, with lemons, bitter oranges, some cinchona and cinnamon, ginger tonic… Finish: medium, smoky, with some ginger, salt, and drops of cough syrup. Seawater. Comments: I would say the 'sherry' was a tad unnecessary and may get in the way, but other than that, I'm totally fond of this 'new' style. SGP:454 - 86 points.",86,2021-10-14,https://www.whiskyfun.com/archiveoctober21-1-Deanston-Martell.html,09e9f97e397a33b254fd8111f82e5d49eaf40afe9f5638ca1b3abd61976ecee4
"Highland Park 'Cask Strength Batch 2' (63.9%, OB, 2021) From sherry seasoned European and American oak casks. Sherry seasoned European oak can be tricky in my book, hope this won't have become too leafy or even leathery. Having said that, batch #1 of the C/S had been very good, in my opinion (WF 86).","Highland Park 'Cask Strength Batch 2' (63.9%, OB, 2021) From sherry seasoned European and American oak casks. Sherry seasoned European oak can be tricky in my book, hope this won't have become too leafy or even leathery. Having said that, batch #1 of the C/S had been very good, in my opinion (WF 86). Colour: gold. Nose: not as smoky as the 15, rather more on sponge cake, caramel, fudge, butterscotch, stewed fruits or the trademark heather honey… With water: creamy honeyness and many stewed fruits and jams, especially our beloved quinces, also apples and pears. A perfect coastal side too, sea spray, even some iodine, mercurochrome, ointments… What's really great is that no clumsy sherry gets in the way, it's all well-integrated. Mouth (neat): I think I like it but I'm sure it is extremely strong. With water: more smoke and more coastalness. A tad too much on the leafy-sherry side indeed for me, with some bell pepper and even, say artichokes, but the general feeling remains extremely positive. All you need to do is to add the proper amount of water - no, zero water is not an option here. Finish: long, perhaps a tad too leafy and peppery at this point, which will make it lose one or two points in my book. Comments: a tad rough and rustic here and there, but it is to my liking. I have the feeling, not only at HP, that some newer sherry-seasoned casks have become leafier and more peppery, I don't know why. Because of European oak? Tonnelerias making them faster? Just a gut feeling... SGP:452 - 85 points.",85,2021-10-14,https://www.whiskyfun.com/archiveoctober21-1-Deanston-Martell.html,f5451adcfa240a721a98b969f7e26b459237b5cb91a4793f591dda826ed08484
"Secret Orkney 16 yo 2005/2021 (58%, Oxhead Whisky Company for Dram-Addicts, cask #7, 261 bottles)","Secret Orkney 16 yo 2005/2021 (58%, Oxhead Whisky Company for Dram-Addicts, cask #7, 261 bottles) Colour: light gold. Nose: classic medicinal, mineral and lemony profile, very pure, very fresh, with lovely notes of sourdough. I would suppose this is blending stock, well blenders have it good. With water: more sourdough, more chalk, more live seafood (clams spring to mind, so to speak). Damp grist. Mouth (neat): superb, salty, lemony, with a lovely creamy fatness (limoncello) and all things from the sea, plus a lot of chalk, limestone, oysters… With water: exceptional doughy, salty and lemony development. Hard to beat here at Château WF. Finish: long, saltier. Quaffing seawater enhanced with lime liqueur. More or less that. Comments: long tasting notes are not always needed. Just wondering, do the owners do a version of their regular 10 à 40%, only at cask strength? I say this fantabulous zesty make needs no sherry, there. Oh and I'll say it, were I the owners, I'd be proud to see such a stunning bottle, whether indie or not, carry my brand name. SGP:563 - 91 points.",91,2021-10-14,https://www.whiskyfun.com/archiveoctober21-1-Deanston-Martell.html,87ae2b057b7741f662677554d03a29e32edd2c220d5b5a618416de5e64de3fc8
"St Ola 15 yo 2006/2021 'Apollo 14' (61.8%, The Whisky Barrel, 1st fill PX sherry, 316 bottles) A bottling also named 'Miles & Miles & Miles', but does that have anything to do with The Who or even with Miles Davis? Probably not, but let's still check whether this little HP in disguise is, uh, stratospheric…","St Ola 15 yo 2006/2021 'Apollo 14' (61.8%, The Whisky Barrel, 1st fill PX sherry, 316 bottles) A bottling also named 'Miles & Miles & Miles', but does that have anything to do with The Who or even with Miles Davis? Probably not, but let's still check whether this little HP in disguise is, uh, stratospheric… Colour: gold. Nose: no huge loads of clumsy PX, that's sorted. Rather this mineral and medicinal arrival on the nose, and a feeling of smoked crystallised oranges with a little tonic water. Not too sure though, because mind you, 61.8% vol.! With water: something Indian here, or chutney-y, on top of the usual wonderful coastal minerality. Oysters and mussels stewed in curry sauce; they do that, don't they? Mouth (neat): ueber-creamy, just a tad too spicy, gingery, leathery… Huge, clearly excessive oak spices but I would hope that goes away once water's been added. With water: not totally but we are relatively fine. Heavy ginger and curry from the cask (scratched and charred?) with one good news, the spirit's big enough to have stood that rather extreme concoctiony (what?) treatment. Finish: long, the spirit starting to have the upper hand, with lemon and lime plus seawater and chalk. Comments: very modern. Now the drinker has his/her say too, as long as he/she's a proper pipette slinger ;-). SGP:563 - 84 points.",84,2021-10-14,https://www.whiskyfun.com/archiveoctober21-1-Deanston-Martell.html,93379c3c27aeb6929c5e476e9dc800f3e89a6bca42d8a47a613b953cc69d3205
"Chichibu 10 yo 'The First Ten' (50.5%, OB, 5,000 bottles, 2020) It does not take a rocket scientist to figure out that this is the first ever Chichibu 10 years old. If you take into account that old whisky saying that used to go like 'no ten no deal', it could actually be the first real 'Chichibu'. Well, I mean, I know what I'm trying to say…","Chichibu 10 yo 'The First Ten' (50.5%, OB, 5,000 bottles, 2020) It does not take a rocket scientist to figure out that this is the first ever Chichibu 10 years old. If you take into account that old whisky saying that used to go like 'no ten no deal', it could actually be the first real 'Chichibu'. Well, I mean, I know what I'm trying to say… Colour: gold. Nose: sound, you drums! Ring out, you trumpets! For it is a pure Chichibu, with only a little vanilla, custard and crushed banana coating a very pure 'old eau-de-vie de barley'. What we like, even if, or perhaps because it's not spectacular at all. Lovely breads and lemon curd. With water: pancakes, pita, broken branches, grist. Mouth (neat): full-textured, creamy, starting with more lemon curd, grapefruit liqueur, raw barley, then we find maize bread and indeed bananas. Very compact and pretty perfect. With water: a little citrus and a touch of eucalyptus, no other changes. Not that we needed any. Finish: medium, clean, sweet and bready. A tad hoppy, perhaps. Comments: I would suppose some fine folks would find it a little gentle and even one-dimensional, well in my book and in these very cases, that's a clear asset. A pure, simple and clean expression of unpeated Chichibu! SGP:561 - 90 points.",90,2021-10-13,https://www.whiskyfun.com/archiveoctober21-1-Deanston-Martell.html,2f0a79463be19623212b2a52aec470ef04f9cadcf1c2a386d90ae8735b6865e5
"Chichibu 'London Edition 2021' (51.5%, OB, for The Whisky Exchange, 1859 bottles) I couldn't spot the strength on the bottle but there is Big Ben so this is well London (it was Big Ben or Boris, so they chose wisely). I shall amend as soon as more data reach me (now updated, thanks Werry).","Chichibu 'London Edition 2021' (51.5%, OB, for The Whisky Exchange, 1859 bottles) I couldn't spot the strength on the bottle but there is Big Ben so this is well London (it was Big Ben or Boris, so they chose wisely). I shall amend as soon as more data reach me (now updated, thanks Werry). Colour: gold. Nose: deeper, more profound, with more herbs, camphor, eucalyptus, a little rubber smoke (burning tyres), a fantastic leafiness (eucalyptus indeed), a touch pf Barbour grease and wee whiffs of new electronics. Yeah, if you like, new iPhone. With water: rubberwood, teak oil, graphite, pencil, this grist that we love so much… Mouth (neat): some tight peat and some even tighter lemons and grapefruits. Totally blade-y, millimetric, perfect. With water: woo-hoo! Pure lime juice with a few drops of seawater. Ite Missa est. Finish: long, chiselled, ultra-pure, blade-y. Sends shivers down your spine, as only the greatest dry chenins blancs would do. A tiny idea of some coconut in the aftertaste. Comments: immaculate and totally straightforward. Grand peaty Chichibu. SGP:465 - 91 points.",91,2021-10-13,https://www.whiskyfun.com/archiveoctober21-1-Deanston-Martell.html,b68785d02f45d2fe87793fd6befa2ad3e9a063da87894e4772a3014c22bb8297
"Chichibu 2007/2021 'Ken's Choice' (59%, OB, for Ken's Bar Hiroshima, Instrumental Trumpet #3932, 300 bottles) This is pretty complicated, as this little Chichibu was first matured in Kentucky from 2007 to 2014 (why?) then at Chichibu's in Japan, between 2014 and 2021. Hold on, is it actually a Chichibu? Is it not a Transworld bourbon? Let's check that…","Chichibu 2007/2021 'Ken's Choice' (59%, OB, for Ken's Bar Hiroshima, Instrumental Trumpet #3932, 300 bottles) This is pretty complicated, as this little Chichibu was first matured in Kentucky from 2007 to 2014 (why?) then at Chichibu's in Japan, between 2014 and 2021. Hold on, is it actually a Chichibu? Is it not a Transworld bourbon? Let's check that… Colour: deep gold. Nose: uh. Varnish, acetone, pancake sauce, vanillin and coconut water, that's not very Chichibu to say the least. With water: oak oils, new plywood. Mouth (neat): bourbon. Not a bad one, mind you. Rather rich, varnishy, with some nougat and some kind of concentrated corn syrup. A little too sweet and syrupy for me. With water: good, sweet, richer, with oranges, a ryeness, maple syrup. Finish: medium, same, sweet, syrupy. Not sickly sweet though. Comments: I may have missed something here. Is it a 'Chichibu' only because it partly aged at Chichibu? A very good drop nonetheless, but I wasn't quite ready for some bourbon. I think I'll distil the cheapest apples I'll find and then ship the barrel to Brora Distillery. And presto, some Brora! (no?) Seriously, I'm sure I've missed something here, it's a solid bourbon. SGP:740 - 84 points.",84,2021-10-13,https://www.whiskyfun.com/archiveoctober21-1-Deanston-Martell.html,59093ad46a778b482e01ac082041ee2249b1aebf39386bd6fdc96f14dff0edac
"Balblair 25 yo (46%, OB, +/-2021) I believe, but I could be completely wrong, that this is a newer batch of the 25. We've never tried the 25 anyway, by the way, but all things come to him who waits (yeah, in books or movies).","Balblair 25 yo (46%, OB, +/-2021) I believe, but I could be completely wrong, that this is a newer batch of the 25. We've never tried the 25 anyway, by the way, but all things come to him who waits (yeah, in books or movies). Colour: deep gold. Nose: herbal teas, overripe apples and pears, and a little metal polish, then the expected bananas and papayas. Some kind of Chinese spiciness too (or is that jasmine?) and greengage jam. Long story short, it is a lovely nose, complex, mature, elegant and fresh. Mouth: starts with a little mentholy oakiness, pinewood perhaps, fir honey… Gets geared towards the trademark tropical fruits after that, as well as hectolitres of various herbal teas, some of them pretty mentholy. There really is a feeling of good old wood in this one, which would make you believe it's pretty older (like 35). The aforementioned 1966 was brighter and fruitier, for example. Dried figs and dates joining the fiesta after a good minute or so. Finish: medium, with a touch of salt, chestnut jam, herbal teas and a rather lovely earthiness in the aftertaste. Comments: perhaps not as utterly brilliant as some other old Balblairs – so perhaps not Concorde-quality - but we're already flying very high. SGP:561 - 88 points.",88,2021-10-12,https://www.whiskyfun.com/archiveoctober21-1-Deanston-Martell.html,3ccbb7ae538439971ce5a1a933ab55b2b287716ba52bd194784f61795f79e585
"Balblair 40 yo (42.8%, Single Malts of Scotland, hogshead, cask #1346, 152 bottles, +/-2010) I tried this baby when it came out but I think I kind of missed it (WF80, no proper tasting note). Let's try it again, eleven years later…","Balblair 40 yo (42.8%, Single Malts of Scotland, hogshead, cask #1346, 152 bottles, +/-2010) I tried this baby when it came out but I think I kind of missed it (WF80, no proper tasting note). Let's try it again, eleven years later… Colour: gold. Nose: certainly a tropical fruit bomb, with papayas, mangos and passion fruits upfront, candlewax just behind them, and then wormwood, or artemisia, angelica, green tea, pine needles… I am, at times, reminded of that old 1966 that I may have mentioned before (you already did twice, S.) Mouth: the oak's more prominent, giving it a mentholy/piney arrival that's not without remind me of the newer official 25. Goes on with banana and peach skins, as well as these tiny touches of paraffin once again. Artisanal citron liqueur, a wonderful Corsican thing that I would wholeheartedly recommend you (they call it 'cédrat' instead of 'citron'). Finish: good length, fresh, tropical, citrusy, with more tea again in the aftertaste. Comments: much better than I remembered it. We tried it during an Old & Rare masterclass last year, we may try it again around the year 2022. SGP:651 - 87 points.",87,2021-10-12,https://www.whiskyfun.com/archiveoctober21-1-Deanston-Martell.html,18690d037a30d28343b40d1f1af9c768a71091f92c55451a4d27ed014c1e2642
"Rosebank 21 yo 'The Roses - Fascination' (49.5%, Specialty Drinks for The Whisky Exchange, Edition Five, Madeira cask, 633 bottles, 2021) This baby, according to the wonderful retro label, is supposed to be 'for contemplation' and to 'change from sip to sip'. This series is released every year to celebrate Valentine's Day (Feb. 14), which can only please me (LOL). Naturally, as Rosebank Distillery closed in 1993, this recent bottling cannot quite be 21 years old, that's probably a matter of London coquetry or something.","Rosebank 21 yo 'The Roses - Fascination' (49.5%, Specialty Drinks for The Whisky Exchange, Edition Five, Madeira cask, 633 bottles, 2021) This baby, according to the wonderful retro label, is supposed to be 'for contemplation' and to 'change from sip to sip'. This series is released every year to celebrate Valentine's Day (Feb. 14), which can only please me (LOL). Naturally, as Rosebank Distillery closed in 1993, this recent bottling cannot quite be 21 years old, that's probably a matter of London coquetry or something. Colour: light gold. Nose: you feel the Madeira upfront, which is much more pleasant than you would believe. Some kind of sweet mustard sauce mixed with sultanas, I would say, but Rosebank's citrus does the cavalry, with pink bananas, tangerines, viognier, young Sauternes and then a drop of chartreuse. Nutshell: lovely! Mouth: punchier than you would have expected, with once again these notes of Madeira sauce, a little leather, tobacco, some saltiness, then the lemons chime in, together with orange blossom honey, earl grey, cane syrup, perhaps curaçao, jelly babies and quite some lemon curd. Lovely 'nervous' sweetness which reminds me of some proper riesling vendanges tardives. Finish: medium, on pretty much the same flavours and some slightly spicy/salty honeyness in the aftertaste. Comments: you could have wondered why one would have buried a Rosebank under Madeira. The answer might be: it wasn't really buried. SGP:651 – 90 points.",,2021-10-11,https://www.whiskyfun.com/archiveoctober21-1-Deanston-Martell.html,7d77a9d87103345ef1ed197eb71f02f4f19a5cd2dda8c22979e9c8ce9b7dbf45
